Date,Open,High,Low,Close,Volume,Name,MA_20,RSI_14,MACD,MACD_Signal,Market_Regime,Open_binned,High_binned,Low_binned,Close_binned,Volume_binned
2006-04-06,-1.4853354308868771,-1.5003491559621662,-1.4796914699591153,-1.483933962624817,0.25235428738140214,NKE,-1.4761740975176245,45.49925632365564,-0.0024650365517888684,-0.000266988415375387,0,0,0,0,0,3
2006-04-07,-1.4772848730762524,-1.4955212909339488,-1.4878295726250796,-1.5099095534392888,0.08144550542153343,NKE,-1.477553399235388,37.08451313961091,-0.004754231869683823,-0.0011644371062370742,1,0,0,0,0,2
2006-04-10,-1.5031812814501786,-1.5214284215150269,-1.5042233626614672,-1.5197530681343132,0.13951249319719514,NKE,-1.478940601826352,37.42881247635282,-0.007278819323823349,-0.002387313549754329,0,0,0,0,0,2
2006-04-11,-1.5097171603109694,-1.5246945093075792,-1.5124798093858527,-1.5329665495798264,0.00014847674873145943,NKE,-1.4811502084986077,15.316878148200033,-0.01022788984538292,-0.0039554288088800476,1,0,0,0,0,2
2006-04-12,-1.5311330481613297,-1.5477329920074545,-1.5191139039140034,-1.5313092681652059,0.3630677666361368,NKE,-1.4836799423441889,18.73948058025168,-0.012289653248340526,-0.005622273696772144,0,0,0,0,0,3
2006-04-13,-1.527820779262023,-1.5296053352955499,-1.507521140316028,-1.5164655947003225,0.623896449995114,NKE,-1.4864269894228932,28.62016169373679,-0.01258083121359177,-0.0070139852001360695,1,0,0,0,0,3
2006-04-17,-1.5162781289552925,-1.537821429417037,-1.5341357694875815,-1.5462829607366904,1.0628904242588892,NKE,-1.4901065080460867,24.634309152125212,-0.015044184104212821,-0.008620024980951421,0,0,0,0,0,4
2006-04-18,-1.5461182117395817,-1.5610381648182916,-1.5291137463859523,-1.547954829457435,1.1260515859439204,NKE,-1.4939496147626623,25.177729172976655,-0.016936086191634114,-0.01028323722308796,1,0,0,0,0,4
2006-04-19,-1.5461182117395817,-1.5560366186220944,-1.5291137463859523,-1.5412771427118175,-0.031954674354819725,NKE,-1.4968972959440525,25.319063254168498,-0.017692648870827776,-0.011765119552635924,0,0,0,0,0,2
2006-04-20,-1.5394419133901696,-1.542770049175511,-1.5174529563280241,-1.5263470421888843,-0.6237074777613362,NKE,-1.5009298496255437,34.89272527104079,-0.01689276661057937,-0.012790648964224613,1,0,0,0,0,1
2006-04-21,-1.5179223140066376,-1.5411189218889698,-1.507521140316028,-1.5213991786673446,-0.17494339288591268,NKE,-1.5039235759025988,35.654971182974236,-0.015678866705696848,-0.01336829251251906,0,0,0,0,0,2
2006-04-24,-1.5195680822873734,-1.542770049175511,-1.5091724265569557,-1.5279995175713994,0.2878312066013966,NKE,-1.5071677711567324,35.232472769077376,-0.015075651744580254,-0.0137097643589313,1,0,0,0,0,3
2006-04-25,-1.5294761113216069,-1.5477329920074545,-1.5257739382463162,-1.54294412054805,-0.04452619006442241,NKE,-1.510680347770494,30.6781915505955,-0.015623407192047134,-0.014092492925554468,0,0,0,0,0,2
2006-04-26,-1.5361135185523889,-1.554372673278746,-1.5408549166449954,-1.5580205246329257,0.4568486804356363,NKE,-1.5147063104356315,29.684985285110642,-0.01707719190333412,-0.0146894327211104,1,0,0,0,0,3
2006-04-27,-1.5764885501802035,-1.5660543425555196,-1.5543732541555857,-1.5462829607366904,0.06453137569794581,NKE,-1.5184658237161697,31.842757706252797,-0.01708525526201199,-0.015168597229290717,0,0,0,0,0,2
2006-04-28,-1.5377769057492436,-1.5560366186220944,-1.5341357694875815,-1.5462829607366904,-0.8444315176862519,NKE,-1.5216637957988033,37.504116757724546,-0.016896868944600074,-0.015514251572352589,1,0,0,0,0,0
2006-05-01,-1.5411085446354658,-1.5560366186220944,-1.5291137463859523,-1.5496283348569375,-0.1022273864644631,NKE,-1.5251898537274953,39.24982397877536,-0.016823583367107764,-0.015776117931303624,0,0,0,0,0,2
2006-05-02,-1.5394419133901696,-1.5577021802296371,-1.5274430237363796,-1.5513034801427972,-0.5606120126568475,NKE,-1.5285583296033942,42.78612749302413,-0.016708073967464543,-0.015962509138535808,1,0,0,0,0,1
2006-05-03,-1.5494661661877462,-1.5694066320486102,-1.5492912963884489,-1.5613889702909771,0.3725815156711673,NKE,-1.5325920485552638,38.929983148729654,-0.017231710273382772,-0.0162163493655052,0,0,0,0,0,3
2006-05-04,-1.5545004266615816,-1.5660543425555196,-1.5408549166449954,-1.5647640663824334,-0.28477971687914905,NKE,-1.5363107043152424,30.6284702993309,-0.01771483230641624,-0.01651604595368741,1,0,0,0,0,2
2006-05-05,-1.5578648572579241,-1.5727654882181976,-1.5408549166449954,-1.5529802685320513,-0.8021501111382773,NKE,-1.539763019610604,46.80473753712986,-0.016951450226780462,-0.016603126808306022,0,0,0,0,0,1
2006-05-08,-1.5494661661877462,-1.5560366186220944,-1.5291137463859523,-1.537948055704436,-0.517230584284813,NKE,-1.5411649447238613,54.09914261310853,-0.01496102905304797,-0.01627470725725441,1,0,0,0,0,1
2006-05-09,-1.5344517486485256,-1.5460770811594986,-1.515793626809489,-1.537948055704436,-0.7749131636193848,NKE,-1.5420746941023675,51.40273381840826,-0.013231086206926479,-0.015665983047188827,0,0,0,0,0,1
2006-05-10,-1.5327915928957565,-1.5460770811594986,-1.5141359122088764,-1.536285940220596,-0.6602106163830269,NKE,-1.5422406636344062,44.98092867426347,-0.011592345862029951,-0.014851255610157052,1,0,0,0,0,1
2006-05-11,-1.5212154368495066,-1.5411189218889698,-1.5374920298784736,-1.5580205246329257,-0.30263150747189227,NKE,-1.5435762264577921,34.31585850305042,-0.011910138982402119,-0.014263032284606066,0,0,0,0,0,2
2006-05-12,-1.5629239537595845,-1.5660543425555196,-1.5408549166449954,-1.5529802685320513,0.05821398371766345,NKE,-1.5454019601493785,39.13769059998968,-0.011621322405046541,-0.013734690308694161,1,0,0,0,0,2
2006-05-15,-1.5629239537595845,-1.571085237691333,-1.5408549166449954,-1.5513034801427972,-0.04588980976937903,NKE,-1.5456529861196837,45.848496156628684,-0.011128843991108806,-0.01321352104517709,0,0,0,0,0,2
2006-05-16,-1.5444466906266652,-1.562708594112872,-1.5509835981502085,-1.5715343152712138,0.5228359227197922,NKE,-1.5468319604103729,43.650537274912665,-0.012230030440677053,-0.013016822924277084,1,0,0,0,0,3
2006-05-17,-1.5816031579922034,-1.5879622983292336,-1.5662904552033454,-1.5783314836827098,0.8701302602217786,NKE,-1.5486846774589174,34.310353218774935,-0.013495634051476024,-0.013112585149716874,0,0,0,0,0,4
2006-05-18,-1.5935971030718394,-1.5862670974887323,-1.5714234622956054,-1.5902919514206681,0.34970362260190785,NKE,-1.5518819229205065,30.727585049719877,-0.015287518819073309,-0.013547571883588162,1,0,0,0,0,3
2006-05-19,-1.5918785205694015,-1.6135935004915918,-1.6095457391794912,-1.6127287323548711,2.3694101372132654,NKE,-1.5564484006048827,26.33763082321194,-0.018307029081098047,-0.014499463323090139,0,0,0,0,0,4
2006-05-22,-1.6160973691429634,-1.627421764768961,-1.6183301914427557,-1.628436213989065,1.7452508153139543,NKE,-1.5614702354257661,23.83478104879383,-0.021717133615257067,-0.015942997381523525,1,0,0,0,0,4
2006-05-23,-1.6108786471228278,-1.5744473868560456,-1.5886460716487507,-1.6075248148874282,2.0489813029481287,NKE,-1.5646992701427351,35.400927118636446,-0.022473233437441786,-0.01724904459270718,0,0,0,0,0,4
2006-05-24,-1.6039450467825989,-1.6153159471289071,-1.5955841730579785,-1.6006108092074511,0.6037462715352647,NKE,-1.5668287843714612,38.89489272341408,-0.02225796950100789,-0.01825082957436732,1,0,0,0,0,3
2006-05-25,-1.5901616644166017,-1.6118727823492076,-1.583460979221416,-1.5920074413660197,-1.056386001202674,NKE,-1.5691150084029277,37.67145161597434,-0.021149354799915754,-0.018830534619477007,0,0,0,0,0,0
2006-05-26,-1.5850214194598615,-1.5744473868560456,-1.5645828845662706,-1.5630756853916636,0.4743396058413969,NKE,-1.5699546446356765,42.68652170856477,-0.01773181739455376,-0.01861079117449236,1,0,0,0,0,3
2006-05-30,-1.5646136525462955,-1.5879622983292336,-1.5611728702733871,-1.5851557865438883,-0.5490854982930933,NKE,-1.5717310172200238,37.84878261299757,-0.016613563195720493,-0.018211345578737985,0,0,0,0,0,1
2006-05-31,-1.5833114341613779,-1.593057979663791,-1.5611728702733871,-1.5783314836827098,0.13341788229287482,NKE,-1.5730824173970197,39.45304962791263,-0.015003720923426833,-0.017569820647675757,1,0,0,0,0,2
2006-06-01,-1.5747870764988388,-1.5744473868560456,-1.5560706151112316,-1.5546587032512142,0.20570907679472408,NKE,-1.5727459040450316,50.79776690130549,-0.011683038984235283,-0.016392464314987663,0,0,0,0,0,3
2006-06-02,-1.5545004266615816,-1.5610381648182916,-1.5391726433298505,-1.547954829457435,0.13904430693875844,NKE,-1.5719054421987815,51.199816410671,-0.008413443099789308,-0.014796660071947992,1,0,0,0,0,2
2006-06-05,-1.5461182117395817,-1.5694066320486102,-1.5577696691936047,-1.5800350070912947,0.7788139015360765,NKE,-1.5732581791267437,43.83072526143708,-0.008315016698439592,-0.013500331397246313,0,0,0,0,0,3
2006-06-06,-1.5730872949828356,-1.591357736088227,-1.562877024063611,-1.5817402297736873,-0.15454948720718759,NKE,-1.5754477878302064,47.599209171038545,-0.008279173131323203,-0.012456099744061692,1,0,0,0,0,2
2006-06-07,-1.5781917193994521,-1.581191527387575,-1.5560706151112316,-1.5698392376831507,1.3328970822463944,NKE,-1.5770423469291421,51.89330901738214,-0.007207374122726762,-0.011406354619794707,0,0,0,0,0,4
2006-06-08,-1.5696927950070325,-1.5862670974887323,-1.5800129991949965,-1.5715343152712138,0.6913739824034937,NKE,-1.578804765681673,54.42629296085114,-0.006420730101674987,-0.010409229716170764,1,0,0,0,0,3
2006-06-09,-1.5629239537595845,-1.5694066320486102,-1.5459117286416133,-1.5613889702909771,-0.9060250831832727,NKE,-1.5789731879645754,62.928195752039635,-0.004921927578476648,-0.00931176928863194,0,0,0,0,0,0
2006-06-12,-1.5561818140985746,-1.5577021802296371,-1.5408549166449954,-1.5613889702909771,0.34744439375782377,NKE,-1.5793936230525216,68.3500165196416,-0.0036915617545638657,-0.008187727781818326,1,0,0,0,0,3
